Ano,Volume_Colhido_m3,Receita_R$,Desvio_Volume_m3
1,1429.9914091946675,1179170.9160219228,357.49785
2,1429.9914103750443,1179170.9169952616,357.49785
3,1429.9913981573754,1179170.9069205718,357.49785
4,1429.9914101204552,1179170.9167853273,357.49785
5,1429.9914109588735,1179170.917476687,357.49785
6,1429.9914084046286,1179170.9153704566,357.49785
7,1429.9914092929932,1179170.9161030024,357.49785
8,-207.05724144147237,-170739.40129263815,1994.5465
9,1429.9914085231544,1179170.9154681931,357.49785
10,1429.9914092478575,1179170.9160657832,357.49785
