Ano,Volume (m³),Meta Volume (m³),Receita (R$),Meta Receita (R$),Desvio Volume (m³)
1,116.9,116.9,70350.52,71423.73,0.0
2,116.9,116.9,70330.27,71423.73,0.0
3,116.9,116.9,70313.98,71423.73,0.0
4,116.9,116.9,70263.12,71423.73,0.0
5,116.9,116.9,70211.7,71423.73,0.0
6,116.9,116.9,70216.96,71423.73,0.0
7,116.9,116.9,70260.15,71423.73,0.0
8,116.9,116.9,70272.98,71423.73,0.0
9,116.9,116.9,70293.06,71423.73,0.0
10,116.9,116.9,70202.05,71423.73,0.0
11,116.9,116.9,70286.62,71423.73,0.0
12,116.9,116.9,70259.8,71423.73,0.0
13,116.9,116.9,70163.22,71423.73,0.0
14,116.9,116.9,70327.7,71423.73,0.0
15,116.9,116.9,70287.22,71423.73,0.0
16,116.9,116.9,70180.26,71423.73,0.0
17,116.9,116.9,70355.12,71423.73,0.0
18,116.9,116.9,70221.01,71423.73,0.0
19,116.9,116.9,70258.67,71423.73,0.0
20,116.9,116.9,70294.31,71423.73,0.0
21,116.9,116.9,70174.65,71423.73,0.0
22,116.9,116.9,70257.52,71423.73,0.0
23,116.9,116.9,70284.26,71423.73,0.0
24,116.9,116.9,70226.82,71423.73,0.0
25,116.9,116.9,70347.71,71423.73,0.0
26,116.9,116.9,70248.97,71423.73,0.0
27,116.9,116.9,70317.36,71423.73,0.0
28,116.9,116.9,70246.81,71423.73,0.0
29,116.9,116.9,70342.18,71423.73,0.0
30,116.9,116.9,70210.67,71423.73,0.0
