Unidade de Producao,Valor Total por UP (R$),Numero Total de Arvores
AC_108,71627.4812422031,162
AC_109,21115.655636203985,69
AC_110,29505.779886128552,136
AC_111,118799.91208790589,213
AC_112,1232.4996613702428,12
AC_113,61360.11713449837,196
AC_114,87433.5909212037,239
AC_115,100158.12294533479,139
AC_118,50091.126183524204,217
AC_119,28246.731197395387,177
AC_128,134630.78736877293,273
AC_129,89791.69101204525,115
AC_13,77390.04019481293,223
AC_130,73330.07405695041,230
AC_133,117520.04142441115,205
AC_134,31820.962528360298,151
AC_135,89176.74682450693,152
AC_136,30345.365835240053,83
AC_137,50049.46911273138,117
AC_138,48377.288198577226,97
AC_14,2428.2279822606206,45
AC_140,87504.74237891853,257
AC_141,61947.17212290087,182
AC_148,112904.35647311683,184
AC_149,46725.61687069457,179
AC_15,49986.074254636755,171
AC_150,118002.94658125222,213
AC_157,92323.94866198272,201
AC_159,8329.1501218042,28
AC_160,12823.42950274283,26
AC_161,68325.88371117406,170
AC_162,69362.83919123105,200
AC_164,73666.97689950143,217
AC_172,105095.41546119389,210
AC_179,70319.1501728439,223
AC_180,90402.26391222666,235
AC_181,71532.7024549098,169
AC_182,23145.575397285535,20
AC_183,74570.73218112312,122
AC_184,29536.518383238905,103
AC_185,11104.306406573534,70
AC_186,18343.24178292441,26
AC_19,76342.43105123253,178
AC_192,115861.42818266468,218
AC_193,135636.9298199135,234
AC_194,75449.85541015936,232
AC_20,15731.136043500697,96
AC_208,63184.280329224195,209
AC_209,55796.46573455433,146
AC_210,23457.013347778866,83
AC_211,36898.92281898345,190
AC_212,5154.519589467103,74
AC_22,18357.52459418374,290
AC_220,78305.07898485426,208
AC_227,73689.05434813738,219
AC_23,65851.29903634904,218
AC_236,121290.11472689177,182
AC_237,52574.56895626651,114
AC_238,66634.90792710002,219
AC_239,102947.31263024035,195
AC_240,52157.856218645065,129
AC_241,62764.673938385145,185
AC_25,72026.19238588186,197
AC_252,77933.68622390044,224
AC_26,117077.25893229578,263
AC_261,98978.48463526633,192
AC_262,59696.77888415555,201
AC_263,35588.88162759371,120
AC_264,748.8297256489968,4
AC_265,92935.53931514313,90
AC_266,66585.8074181438,168
AC_267,27996.511262426528,99
AC_27,107471.00134762302,247
AC_283,99602.98020694526,214
AC_284,49792.743137171,107
AC_285,57445.73734521597,236
AC_286,7702.463074355076,41
AC_287,83395.30125224151,136
AC_288,25629.82272159821,52
AC_290,10732.634106292426,23
AC_292,483.0906595772133,2
AC_293,1001.1522214329176,2
AC_308,149910.1152181815,245
AC_309,56026.27558944587,171
AC_310,136119.86551456244,216
AC_311,47402.0163963558,111
AC_312,20171.533362408085,43
AC_313,557.5574143833013,5
AC_314,97.37045973140191,2
AC_315,409.47535810833244,7
AC_316,28321.915551841008,53
AC_318,69352.79113620768,166
AC_320,574.5414472882352,3
AC_321,2015.0619376259067,4
AC_329,80674.28004944712,203
AC_330,19287.223750081772,33
AC_331,85968.5925925822,200
AC_332,72300.0489733751,207
AC_333,29800.171493956823,144
AC_334,66173.37811275676,232
AC_335,67839.59963648947,215
AC_336,12614.429758413951,78
AC_337,13532.263604117661,162
AC_338,28503.68812721072,39
AC_339,34765.22309299282,71
AC_341,5338.481493497634,24
AC_342,4339.728366051584,7
AC_349,63437.24701239415,138
AC_350,66965.56075029865,125
AC_351,103234.39331941093,226
AC_354,62268.936383205364,270
AC_355,96693.70230574354,231
AC_356,35979.76758453036,138
AC_357,55731.67656653273,127
AC_358,55088.33152113195,114
AC_36,56656.160982676956,251
AC_361,9293.514517548554,100
AC_362,34945.81513287884,181
AC_368,83956.20212574925,146
AC_369,107471.60897174533,231
AC_37,50077.38757820317,246
AC_370,59973.04889693222,194
AC_371,75780.80726395253,182
AC_372,113152.66498429219,178
AC_373,80184.58316033923,152
AC_374,52999.81221409812,110
AC_375,1079.0489776632048,5
AC_376,74543.65217739367,177
AC_377,45420.11590796434,142
AC_378,6393.54334639304,23
AC_38,74909.86380761831,226
AC_380,1203.552167735485,9
AC_386,54982.98960035302,189
AC_387,65050.371617610304,164
AC_388,36577.379894283906,115
AC_389,73928.07363031393,195
AC_390,68384.89455904317,172
AC_391,56051.0537690862,137
AC_392,72710.84106730831,193
AC_393,1752.3250368333295,39
AC_394,26865.774996940036,41
AC_396,67058.71571993546,138
AC_40,111610.59415044852,270
AC_402,90074.19156820225,139
AC_403,33841.016502482766,81
AC_405,6068.15741910205,1
AC_406,6430.482388414657,8
AC_407,52996.659607170244,198
AC_408,18032.593363758122,103
AC_409,42155.12501208476,120
AC_41,103761.50082982583,208
AC_415,37.90105470657808,1
AC_416,15443.909375494928,54
AC_42,73448.16419432934,142
AC_43,81494.14410406727,284
AC_45,110456.44827687471,252
AC_46,107315.38344958748,277
AC_47,126882.65467710208,254
AC_48,124213.56060093145,239
AC_50,105935.7987996845,233
AC_51,90283.63377882587,224
AC_57,60513.14845159425,205
AC_58,89983.54494344108,225
AC_6,102900.82878217383,180
AC_62,107437.88909996803,264
AC_63,87132.73455625724,290
AC_64,117463.8287061251,179
AC_65,25653.812901903617,112
AC_66,104309.82570496394,274
AC_67,7961.423691647143,19
AC_68,143235.65026718436,219
AC_70,45133.8282344919,93
AC_71,73256.52353456843,173
AC_77,66494.35637886777,146
AC_78,56965.000828380136,220
AC_86,116474.07227382026,286
AC_87,624.5229552824942,3
AC_89,83358.95441409892,181
AC_90,48004.2873486169,144
AC_91,26045.58267896743,123
AC_92,58478.069961889814,180
AC_93,62738.317492975664,147
AC_97,60678.72525392055,243
AC_98,50772.879780509684,218
